상호명,위도(lat),경도(lon),소재지,count
가판점,37.4841112017387,126.779942240663,경기 부천시 자유로 33 이마트앞 지하도입구,21
천하제일복권명당유성점,36.3509475313278,127.33513410825,대전 유성구 유성대로654번길 111,21
로또복권방,36.9446097185476,126.7828631249,충남 당진시 신복운로4길 21,21
복권왕국,36.3308735920233,127.377864332473,대전 서구 동서대로1047번길 2,21
노다지복권방서정지점,37.0562301095505,127.055479675135,경기 평택시 서정역로 23,21
자수정슈퍼,35.8057843611694,127.126913347011,전북 전주시 완산구 용머리로 152,21
복권천국,37.4852665484893,126.785867756558,경기 부천시 부일로 502,21
돈벼락복권,37.1715376055433,128.992119431229,강원 태백시 번영로 356,20
해수로또,36.6261618044057,127.499370400723,충북 청주시 상당구 산성로 22-1,20
대동도기상사,35.9603193034517,128.931899577759,경북 영천시 금완로 30,20
로또복권방,36.892930199841,126.626307077201,충남 당진시 당진중앙1로 21,20
금손로또판매점,36.8982114799918,126.628771155102,충남 당진시 서해로 5772,20
스타마트,36.0875208993373,128.364593947857,경북 구미시 임은길 15,20
가로판매점,37.4759416445717,126.981163275417,서울 관악구 과천대로 955,20
로또복권방분평점,36.6111862024375,127.493548830681,충북 청주시 서원구 월평로 78,20
가판대,37.6162820533305,127.064864541961,서울 노원구 월계동 65-1번지 석계역1번출구앞,20
우선식품,37.5124972547658,126.916676953026,서울 영등포구 도신로 231-2,20
천복당,37.1462247905801,127.074255406884,경기 오산시 대원로 52,20
로또복권,36.1347797372166,128.118500444758,경북 김천시 신음새동네길 13,20
행운 마트,37.4615930687888,126.735091118519,인천 남동구 만수로 65,20
복권방,33.2223396161789,126.254613857571,제주 서귀포시 상모로 326,20
365팡팡복권,35.3111685283496,128.735120634398,경남 김해시 장등로 53 상가136동108호,20
뮤직마트,37.4831182461864,127.036028236967,서울 서초구 강남대로 212,20
광시당,36.8226282140299,128.627153619721,경북 영주시 원당로 121,20
미래유통,34.8207977287201,126.421392306789,전남 목포시 영산로 623,20
